"ID","X","のような","Y"
"1","クッション","のような","働き"
"2","箱","のような","個室サウナ"
"3","愛撫","のような","マッサージ"
"4","第三者","のような","曖昧模糊"
"5","琴線","のような","部分"
"6","女王","のような","雰囲気"
"7","青年","のような","気分"
"8","小僧っ子","のような","使い"
"9","地獄","のような","悲しみ"
"10","子供","のような","顔"
"11","迷路","のような","新興住宅地"
"12","子供","のような","好奇心"
"13","象徴","のような","建物"
"14","靴下","のような","臭い"
"15","水晶","のような","像"
"16","学芸会","のような","踊り"
"17","熱病","のような","ＩＴ革命論"
"18","猟犬","のような","表情"
"19","チーズ","のような","状態"
"20","迷路","のような","システム内"
"21","ブラウン運動","のような","画面"
"22","申し子","のような","存在"
"23","矢","のような","送球"
"24","ゴミため","のような","地上町"
"25","底なし沼","のような","快楽"
"26","幽霊","のような","存在"
"27","呪文","のような","声"
"28","やくざ","のような","店員"
"29","死者","のような","冷気"
"30","芝居","のような","表情"
"31","サーカス小屋","のような","空間"
"32","激流","のような","轟音"
"33","鍵盤","のような","パーツ"
"34","幼虫","のような","指"
"35","水蒸気","のような","人影"
"36","重油","のような","血"
"37","野獣","のような","赤児"
"38","戦場","のような","騒ぎ"
"39","箱","のような","二階屋"
"40","矢","のような","閃光"
"41","野獣","のような","叫び声"
"42","亡霊","のような","顔"
"43","お盆","のような","金属製"
"44","人間国宝","のような","先生"
"45","天国","のような","気分"
"46","化け物","のような","成績"
"47","少女","のような","横顔"
"48","孫","のような","存在"
"49","雲の上","のような","存在"
"50","少年","のような","顔"
"51","魔法","のような","技"
"52","悪鬼","のような","顔"
"53","慈母","のような","顔"
"54","大波","のような","雪の下"
"55","白鳥","のような","気分"
"56","滝","のような","小便"
"57","プラスチック","のような","質感"
"58","金属","のような","質感"
"59","鬼","のような","行動"
"60","甘露","のような","正法"
"61","鐘","のような","声"
"62","針金","のような","雄しべ"
"63","ベスビアス火山","のような","爆発"
"64","阿修羅","のような","形相"
"65","例話","のような","事柄"
"66","聖者","のような","行為"
"67","専制君主","のような","存在"
"68","墓場","のような","静寂"
"69","年寄り","のような","口"
"70","吐息","のような","声"
"71","むしろ","のような","生活"
"72","泥","のような","肉塊"
"73","霧","のような","邪気"
"74","戦場","のような","情報戦"
"75","うそ","のような","静けさ"
"76","木枯らし","のような","呼吸音"
"77","老人","のような","ひとり言"
"78","女王","のような","化粧"
"79","渋紙","のような","仏頂面"
"80","夢","のような","旅"
"81","置物","のような","犬"
"82","ぬるま湯","のような","平和"
"83","滝","のような","汗"
"84","蒸しぶろ","のような","かま"
"85","猫","のような","顔"
"86","シルク","のような","ひだ"
"87","ぬるま湯","のような","プレス"
"88","流れ作業","のような","システム"
"89","魔法","のような","スピード"
"90","墓地","のような","静けさ"
"91","鬼","のような","兵法者"
"92","生徒","のような","気分"
"93","箱庭","のような","たたずまい"
"94","悪夢","のような","姿"
"95","天国","のような","場所"
"96","犬","のような","泣き声"
"97","鬼","のような","顔"
"98","大河","のような","歴史"
"99","奇跡","のような","運"
"100","玉座","のような","操縦席"
"101","奇蹟","のような","経済発展"
"102","氷","のような","未亡人"
"103","宝石","のような","涙"
"104","魔術","のような","遺伝子工学"
"105","氷","のような","冷静"
"106","子供","のような","口調"
"107","洞窟","のような","バー"
"108","あひる","のような","声"
"109","鬼","のような","表情"
"110","出稼ぎ","のような","現金収入"
"111","宝石","のような","スポーツカー"
"112","満月","のような","丸顔"
"113","網目","のような","街路"
"114","要塞","のような","陣地"
"115","悪夢","のような","出来事"
"116","役人","のような","周到さ"
"117","仙人","のような","態度"
"118","霧","のような","空想"
"119","悪魔","のような","形相"
"120","その他人事","のような","言い方"
"121","小娘","のような","心境"
"122","夢","のような","奉公先"
"123","ビロード","のような","感触"
"124","チョコレート","のような","屋根"
"125","怪物","のような","存在"
"126","破片","のような","物質"
"127","絹","のような","金髪"
"128","ディナー","のような","緊張"
"129","胎児","のような","気分"
"130","子供","のような","歓声"
"131","貝殻","のような","ピンク"
"132","幹","のような","腕"
"133","咆哮","のような","音声"
"134","孤児","のような","生活"
"135","牛乳","のような","白色"
"136","オアシス","のような","空間"
"137","魔法","のような","テクニック"
"138","奇跡","のような","長寿食"
